step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,11.11535,0.35942,,,,
2,11.15301,0.35942,,,,
3,11.17708,0.36522,,,,
4,11.43135,0.34493,,,,
5,11.01843,0.36232,,,,
6,10.89783,0.36522,,,,
7,10.88024,0.34493,,,,
8,10.65631,0.37101,,,,
9,10.42384,0.37391,,,,
10,10.13999,0.3971,,,,
11,9.70981,0.4029,,,,
12,9.18043,0.44348,,,,
13,9.09623,0.44058,,,,
14,8.81107,0.45507,,,,
15,8.75507,0.45217,,,,
16,8.08463,0.51884,,,,
17,7.77106,0.53913,,,,
18,7.33373,0.56522,,,,
19,7.29645,0.56522,,,,
20,6.83526,0.62029,,,,
21,6.60142,0.62609,,,,
22,6.42997,0.61449,,,,
23,6.0581,0.64058,,,,
24,5.96886,0.62319,,,,
25,5.73597,0.63478,,,,
26,5.23738,0.64928,,,,
27,5.11606,0.64348,,,,
28,4.7775,0.64928,,,,
29,4.43751,0.66087,,,,
30,4.11567,0.65507,,,,
31,3.72385,0.65507,,,,
32,3.33289,0.65797,,,,
33,2.97551,0.66087,,,,
34,2.77523,0.65507,,,,
35,2.44184,0.65797,,,,
36,2.2803,0.65797,,,,
37,1.99942,0.66377,,,,
38,1.69419,0.66377,,,,
39,1.39412,0.68116,,,,
40,1.25194,0.68986,,,,
41,0.91758,0.76232,,,,
42,0.77722,0.7942,,,,
43,0.63837,0.82029,,,,
44,0.65388,0.82319,,,,
45,0.46485,0.89565,,,,
46,0.46698,0.87246,,,,
47,0.45597,0.85507,,,,
48,0.4616,0.86377,,,,
49,0.39598,0.88406,,,,
50,0.45297,0.85507,,,,
51,0.33654,0.90725,,,,
52,0.38035,0.88116,,,,
53,0.46157,0.84058,,,,
54,0.44135,0.84638,,,,
55,0.39902,0.85507,,,,
56,0.38283,0.86667,,,,
57,0.35335,0.89565,,,,
58,0.34181,0.90145,,,,
59,0.38776,0.85797,,,,
60,0.3994,0.86377,,,,
61,0.36864,0.86087,,,,
62,0.33428,0.87826,,,,
63,0.36066,0.87536,,,,
64,0.29311,0.90725,,,,
65,0.33052,0.89855,,,,
66,0.31721,0.89855,,,,
67,0.35039,0.87246,,,,
68,0.32846,0.88406,,,,
69,0.2778,0.91594,,,,
70,0.35436,0.87536,,,,
71,0.29585,0.89855,,,,
72,0.30029,0.91014,,,,
73,0.34488,0.89565,,,,
74,0.31134,0.87826,,,,
75,0.31147,0.89855,,,,
76,0.33915,0.87246,,,,
77,0.32402,0.88986,,,,
78,0.33777,0.88406,,,,
79,0.26679,0.90435,,,,
80,0.29977,0.89855,,,,
81,0.32462,0.88696,,,,
82,0.26975,0.90725,,,,
83,0.25693,0.91304,,,,
84,0.30459,0.90145,,,,
85,0.3004,0.89275,,,,
86,0.25785,0.91884,,,,
87,0.30174,0.89275,,,,
88,0.30348,0.89275,,,,
89,0.2455,0.93043,,,,
90,0.29377,0.90145,,,,
91,0.31584,0.88986,,,,
92,0.26955,0.91014,,,,
93,0.32738,0.88406,,,,
94,0.28859,0.89855,,,,
95,0.27377,0.91304,,,,
96,0.28127,0.89855,,,,
97,0.30882,0.90725,,,,
98,0.29855,0.91014,,,,
99,0.28591,0.89275,,,,
100,0.32471,0.88406,0.26258,0.90725,,
101,0.27698,0.91304,,,,
102,0.27885,0.90435,,,,
103,0.26344,0.91304,,,,
104,0.29988,0.90145,,,,
105,0.29272,0.89275,,,,
106,0.26453,0.90145,,,,
107,0.31034,0.89275,,,,
108,0.32124,0.87826,,,,
109,0.29833,0.88696,,,,
110,0.28462,0.91304,,,,
111,0.3475,0.87536,,,,
112,0.31604,0.90145,,,,
113,0.27453,0.91884,,,,
114,0.32353,0.88696,,,,
115,0.27359,0.91014,,,,
116,0.28829,0.90145,,,,
117,0.25613,0.90725,,,,
118,0.28316,0.91304,,,,
119,0.28641,0.89565,,,,
120,0.29185,0.89855,,,,
121,0.26672,0.90435,,,,
122,0.31519,0.89855,,,,
123,0.23824,0.91884,,,,
124,0.27263,0.91304,,,,
125,0.3014,0.91304,,,,
126,0.27935,0.89565,,,,
127,0.26715,0.91304,,,,
128,0.25601,0.91014,,,,
129,0.30421,0.89275,,,,
130,0.27385,0.91884,,,,
131,0.28257,0.90725,,,,
132,0.31779,0.90145,,,,
133,0.28563,0.90435,,,,
134,0.29148,0.91014,,,,
135,0.2952,0.88696,,,,
136,0.23742,0.91884,,,,
137,0.2217,0.93043,,,,
138,0.25779,0.89855,,,,
139,0.25094,0.92464,,,,
140,0.29563,0.91304,,,,
141,0.22857,0.92464,,,,
142,0.29731,0.88986,,,,
143,0.24328,0.91884,,,,
144,0.27564,0.90145,,,,
145,0.24705,0.91884,,,,
146,0.27512,0.90145,,,,
147,0.27253,0.91014,,,,
148,0.26932,0.90145,,,,
149,0.30301,0.89855,,,,
150,0.25043,0.91304,,,,
151,0.30638,0.90145,,,,
152,0.29931,0.91014,,,,
153,0.32042,0.89855,,,,
154,0.33976,0.87826,,,,
155,0.25281,0.90725,,,,
156,0.25503,0.91884,,,,
